f,u,n,d,a,$,COPY	f,u,n,d,a
u,h,o,n,s,$,COPY	u,h,o,n,s
u,h,o,n,s,$,V,SG,1,FUT+IMMED	n,g,i,z,o,u,h,o,n,s
f,q,o,l,a,$,COPY	f,q,o,l,a
f,q,o,l,a,$,V,SG,1,PST+RMT	n,g,a,f,q,o,l,a
t,h,o,b,a,$,COPY	t,h,o,b,a
t,h,o,b,a,$,V,SG,1,PRS	n,g,i,t,h,o,b,a
q,h,e,u,a,$,COPY	q,h,e,u,a
q,h,e,u,a,$,V,SG,1,PST+RCT	n,g,i,q,h,e,u,e
l,y,y,n,l,a,$,COPY	l,y,y,n,l,a
l,y,y,n,l,a,$,V,SG,1,PST+RMT	n,g,a,l,y,y,n,l,a
l,b,c,j,w,a,$,COPY	l,b,c,j,w,a
l,b,c,j,w,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,b,c,j,w,a
l,b,b,e,l,a,$,COPY	l,b,b,e,l,a
l,b,b,e,l,a,$,V,SG,1,PRS	n,g,i,l,b,b,e,l,a
l,u,i,e,l,a,$,COPY	l,u,i,e,l,a
l,u,i,e,l,a,$,V,SG,1,FUT	n,g,i,y,o,l,u,i,e,l,a
t,a,l,e,d,a,$,COPY	t,a,l,e,d,a
t,a,l,e,d,a,$,V,SG,1,PST+RCT	n,g,i,t,a,l,e,d,e
o,h,f,m,a,$,COPY	o,h,f,m,a
o,h,f,m,a,$,V,SG,1,FUT	n,g,i,y,o,o,h,f,m,a
a,h,u,s,a,$,COPY	a,h,u,s,a
a,h,u,s,a,$,V,SG,1,PST+RCT	n,g,i,a,h,u,s,e
q,s,u,m,a,$,COPY	q,s,u,m,a
q,s,u,m,a,$,V,SG,1,PST+RMT	n,g,a,q,s,u,m,a
k,m,u,h,c,$,COPY	k,m,u,h,c
k,m,u,h,c,$,V,SG,1,PRS	n,g,i,k,m,u,h,c
t,f,v,m,a,$,COPY	t,f,v,m,a
t,f,v,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,f,v,m,a
n,v,u,n,a,$,COPY	n,v,u,n,a
n,v,u,n,a,$,V,SG,1,PST+RCT	n,g,i,n,v,u,n,e
n,g,g,k,w,$,COPY	n,g,g,k,w
n,g,g,k,w,$,V,SG,1,FUT+IMMED	n,g,i,z,o,n,g,g,k,w
n,g,e,n,u,$,COPY	n,g,e,n,u
n,g,e,n,u,$,V,SG,1,PST+RMT	n,g,a,n,g,e,n,u
n,s,v,n,q,$,COPY	n,s,v,n,q
n,s,v,n,q,$,V,SG,1,FUT	n,g,i,y,o,n,s,v,n,q
z,e,e,k,a,$,COPY	z,e,e,k,a
z,e,e,k,a,$,V,SG,1,PRS	n,g,i,z,e,e,k,a
h,u,e,p,w,$,COPY	h,u,e,p,w
h,u,e,p,w,$,V,SG,1,FUT+IMMED	n,g,i,z,o,h,u,e,p,w
f,j,e,p,a,$,COPY	f,j,e,p,a
f,j,e,p,a,$,V,SG,1,PST+RCT	n,g,i,f,j,e,p,e
d,h,e,k,l,$,COPY	d,h,e,k,l
d,h,e,k,l,$,V,SG,1,PRS	n,g,i,d,h,e,k,l
z,h,e,a,e,$,COPY	z,h,e,a,e
z,h,e,a,e,$,V,SG,1,PST+RMT	n,g,a,z,h,e,a,e
j,p,d,k,a,$,COPY	j,p,d,k,a
j,p,d,k,a,$,V,SG,1,FUT	n,g,i,y,o,j,p,d,k,a
t,y,e,n,g,i,t,a,$,COPY	t,y,e,n,g,i,t,a
t,y,e,n,g,i,t,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,y,e,n,g,i,t,a
t,h,f,n,f,i,s,a,$,COPY	t,h,f,n,f,i,s,a
t,h,f,n,f,i,s,a,$,V,SG,1,PRS	n,g,i,t,h,f,n,f,i,s,a
t,h,o,n,e,i,v,a,$,COPY	t,h,o,n,e,i,v,a
t,h,o,n,e,i,v,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,o,n,e,i,v,a
t,h,g,k,p,i,s,a,$,COPY	t,h,g,k,p,i,s,a
t,h,g,k,p,i,s,a,$,V,SG,1,PST+RCT	n,g,i,t,h,g,k,p,i,s,e
t,h,c,f,d,i,s,a,$,COPY	t,h,c,f,d,i,s,a
t,h,c,f,d,i,s,a,$,V,SG,1,PST+RMT	n,g,a,t,h,c,f,d,i,s,a
s,o,l,k,$,COPY	s,o,l,k
s,o,l,k,$,V,SG,1,FUT	n,g,i,y,o,s,o,l,k
l,k,l,v,$,COPY	l,k,l,v
l,k,l,v,$,V,SG,1,PST+RMT	n,g,a,l,k,l,v
i,a,u,a,$,COPY	i,a,u,a
i,a,u,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,i,a,u,a
s,u,k,a,$,COPY	s,u,k,a
s,u,k,a,$,V,SG,1,PRS	n,g,i,s,u,k,a
s,a,l,a,$,V,SG,1,PST+RCT	n,g,i,s,a,l,e
n,j,a,$,COPY	n,j,a
n,j,a,$,V,SG,1,PRS	n,g,i,n,j,a
s,e,u,e,c,o,a,$,COPY	s,e,u,e,c,o,a
s,e,u,e,c,o,a,$,V,SG,1,FUT	n,g,i,y,o,s,e,u,e,c,o,a
s,n,b,y,n,i,a,$,COPY	s,n,b,y,n,i,a
s,n,b,y,n,i,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,n,b,y,n,i,a
s,n,b,e,z,z,a,$,COPY	s,n,b,e,z,z,a
s,n,b,e,z,z,a,$,V,SG,1,PST+RMT	n,g,a,s,n,b,e,z,z,a
s,e,u,z,n,z,a,$,COPY	s,e,u,z,n,z,a
s,e,u,z,n,z,a,$,V,SG,1,PRS	n,g,i,s,e,u,z,n,z,a
s,e,b,e,n,z,a,$,V,SG,1,PST+RCT	n,g,i,s,e,b,e,n,z,e
z,h,s,a,$,COPY	z,h,s,a
z,h,s,a,$,V,SG,1,PRS	n,g,i,z,h,s,a
z,i,s,w,$,COPY	z,i,s,w
z,i,s,w,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,z,i,s,w
w,d,u,p,$,COPY	w,d,u,p
w,d,u,p,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,w,d,u,p
w,i,s,g,$,COPY	w,i,s,g
w,i,s,g,$,V,SG,1,PST+RMT	n,g,a,w,i,s,g
z,f,s,a,$,COPY	z,f,s,a
z,f,s,a,$,V,SG,1,PST+RCT	n,g,i,y,a,z,f,s,e
n,z,v,h,t,$,COPY	n,z,v,h,t
n,z,v,h,t,$,V,SG,1,PRS	n,g,e,n,z,v,h,t
n,z,e,y,a,$,COPY	n,z,e,y,a
n,z,e,y,a,$,V,SG,1,FUT	n,g,i,y,o,k,w,e,n,z,e,y,a
n,z,e,s,a,$,COPY	n,z,e,s,a
n,z,e,s,a,$,V,SG,1,PST+RCT	n,g,e,n,z,e,s,e
n,e,h,f,z,$,COPY	n,e,h,f,z
n,e,h,f,z,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,e,n,e,h,f,z
n,f,e,k,n,$,COPY	n,f,e,k,n
n,f,e,k,n,$,V,SG,1,PST+RMT	n,g,a,n,f,e,k,n
k,f,u,u,u,m,a,$,COPY	k,f,u,u,u,m,a
k,f,u,u,u,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,f,u,u,u,m,a
k,q,d,l,u,m,a,$,COPY	k,q,d,l,u,m,a
k,q,d,l,u,m,a,$,V,SG,1,PST+RCT	n,g,i,k,q,d,l,u,m,e
k,h,v,l,u,g,a,$,COPY	k,h,v,l,u,g,a
k,h,v,l,u,g,a,$,V,SG,1,FUT	n,g,i,y,o,k,h,v,l,u,g,a
k,a,j,g,u,v,a,$,COPY	k,a,j,g,u,v,a
k,a,j,g,u,v,a,$,V,SG,1,PRS	n,g,i,k,a,j,g,u,v,a
k,w,u,g,u,m,a,$,COPY	k,w,u,g,u,m,a
k,w,u,g,u,m,a,$,V,SG,1,PST+RMT	n,g,a,k,w,u,g,u,m,a
m,u,b,e,l,a,$,COPY	m,u,b,e,l,a
m,u,b,e,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,m,u,b,e,l,a
m,u,n,e,w,a,$,COPY	m,u,n,e,w,a
m,u,n,e,w,a,$,V,SG,1,PRS	n,g,i,m,u,n,e,w,a
m,j,k,o,l,a,$,COPY	m,j,k,o,l,a
m,j,k,o,l,a,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,m,j,k,o,l,a
v,u,k,m,o,a,$,COPY	v,u,k,m,o,a
v,u,k,m,o,a,$,V,SG,1,PST+RCT	n,g,i,y,a,v,u,k,m,o,e
m,u,k,e,q,a,$,COPY	m,u,k,e,q,a
m,u,k,e,q,a,$,V,SG,1,PST+RMT	n,g,a,m,u,k,e,q,a
s,h,q,y,e,e,a,$,COPY	s,h,q,y,e,e,a
s,h,q,y,e,e,a,$,V,SG,1,FUT	n,g,i,y,o,s,h,q,y,e,e,a
s,h,a,y,y,l,a,$,COPY	s,h,a,y,y,l,a
s,h,a,y,y,l,a,$,V,SG,1,PRS	n,g,i,s,h,a,y,y,l,a
s,h,a,k,e,l,a,$,COPY	s,h,a,k,e,l,a
s,h,a,k,e,l,a,$,V,SG,1,PST+RCT	n,g,i,s,h,a,k,e,l,e
s,m,l,y,f,i,a,$,COPY	s,m,l,y,f,i,a
s,m,l,y,f,i,a,$,V,SG,1,PST+RMT	n,g,a,s,m,l,y,f,i,a
s,j,i,s,m,g,a,$,COPY	s,j,i,s,m,g,a
s,j,i,s,m,g,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,j,i,s,m,g,a
n,j,c,a,$,COPY	n,j,c,a
n,j,c,a,$,V,SG,1,PRS	n,g,i,n,j,c,a
n,a,p,a,$,COPY	n,a,p,a
n,a,p,a,$,V,SG,1,PST+RCT	n,g,i,n,a,p,e
n,a,y,b,$,COPY	n,a,y,b
n,a,y,b,$,V,SG,1,FUT	n,g,i,y,o,n,a,y,b
u,d,k,s,$,COPY	u,d,k,s
u,d,k,s,$,V,SG,1,FUT+IMMED	n,g,i,z,o,u,d,k,s
n,h,k,o,$,COPY	n,h,k,o
n,h,k,o,$,V,SG,1,PST+RMT	n,g,a,n,h,k,o
q,a,l,a,$,V,SG,1,PST+RCT	n,g,i,q,a,l,e
q,z,l,u,$,COPY	q,z,l,u
q,z,l,u,$,V,SG,1,FUT	n,g,i,y,o,q,z,l,u
c,a,c,j,$,COPY	c,a,c,j
c,a,c,j,$,V,SG,1,PRS	n,g,i,c,a,c,j
q,a,l,s,$,COPY	q,a,l,s
q,a,l,s,$,V,SG,1,PST+RMT	n,g,a,q,a,l,s
v,a,g,i,$,COPY	v,a,g,i
v,a,g,i,$,V,SG,1,FUT+IMMED	n,g,i,z,o,v,a,g,i
z,z,k,p,$,COPY	z,z,k,p
z,z,k,p,$,V,SG,1,PRS	n,g,i,z,z,k,p
n,m,n,a,$,COPY	n,m,n,a
n,m,n,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,n,m,n,a
z,a,k,a,$,COPY	z,a,k,a
z,a,k,a,$,V,SG,1,PST+RCT	n,g,i,z,a,k,e
c,a,k,a,$,COPY	c,a,k,a
c,a,k,a,$,V,SG,1,PST+RMT	n,g,a,c,a,k,a
f,a,s,a,$,COPY	f,a,s,a
f,a,s,a,$,V,SG,1,FUT	n,g,i,y,o,f,a,s,a
h,l,f,k,a,$,COPY	h,l,f,k,a
h,l,f,k,a,$,V,SG,1,PST+RCT	n,g,i,h,l,f,k,e
l,a,t,k,j,$,COPY	l,a,t,k,j
l,a,t,k,j,$,V,SG,1,PST+RMT	n,g,a,l,a,t,k,j
h,m,e,k,a,$,COPY	h,m,e,k,a
h,m,e,k,a,$,V,SG,1,FUT	n,g,i,y,o,h,m,e,k,a
h,l,k,h,a,$,COPY	h,l,k,h,a
h,l,k,h,a,$,V,SG,1,PRS	n,g,i,y,a,h,l,k,h,a
z,d,e,k,a,$,COPY	z,d,e,k,a
z,d,e,k,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,z,d,e,k,a
q,e,d,f,$,COPY	q,e,d,f
q,e,d,f,$,V,SG,1,PST+RMT	n,g,a,q,e,d,f
q,e,d,v,$,COPY	q,e,d,v
q,e,d,v,$,V,SG,1,FUT+IMMED	n,g,i,z,o,q,e,d,v
l,e,o,a,$,COPY	l,e,o,a
l,e,o,a,$,V,SG,1,FUT	n,g,i,y,o,l,e,o,a
q,e,d,a,$,V,SG,1,PRS	n,g,i,q,e,d,a
f,i,q,a,$,COPY	f,i,q,a
f,i,q,a,$,V,SG,1,PST+RCT	n,g,i,f,i,q,e
p,s,i,c,v,$,COPY	p,s,i,c,v
p,s,i,c,v,$,V,SG,1,PST+RMT	n,g,a,p,s,i,c,v
p,j,e,p,a,$,COPY	p,j,e,p,a
p,j,e,p,a,$,V,SG,1,PST+RCT	n,g,i,p,j,e,p,e
p,i,i,t,a,$,COPY	p,i,i,t,a
p,i,i,t,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,i,i,t,a
u,t,i,l,v,$,COPY	u,t,i,l,v
u,t,i,l,v,$,V,SG,1,FUT	n,g,i,y,o,u,t,i,l,v
q,z,y,l,a,$,COPY	q,z,y,l,a
q,z,y,l,a,$,V,SG,1,PRS	n,g,i,y,a,q,z,y,l,a
l,a,e,a,$,COPY	l,a,e,a
l,a,e,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,a,e,a
l,a,n,a,$,COPY	l,a,n,a
l,a,n,a,$,V,SG,1,FUT	n,g,i,y,o,l,a,n,a
a,n,f,s,$,COPY	a,n,f,s
a,n,f,s,$,V,SG,1,PST+RMT	n,g,a,a,n,f,s
l,a,l,a,$,V,SG,1,PRS	n,g,i,y,a,l,a,l,a
m,a,l,a,$,COPY	m,a,l,a
m,a,l,a,$,V,SG,1,PST+RCT	n,g,i,m,a,l,e
g,i,e,i,m,a,$,COPY	g,i,e,i,m,a
g,i,e,i,m,a,$,V,SG,1,PST+RCT	n,g,i,g,i,e,i,m,e
g,m,i,a,b,a,$,COPY	g,m,i,a,b,a
g,m,i,a,b,a,$,V,SG,1,PRS	n,g,i,y,a,g,m,i,a,b,a
g,y,f,z,m,a,$,COPY	g,y,f,z,m,a
g,y,f,z,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,g,y,f,z,m,a
g,t,z,i,y,k,$,COPY	g,t,z,i,y,k
g,t,z,i,y,k,$,V,SG,1,PST+RMT	n,g,a,g,t,z,i,y,k
g,z,j,i,m,a,$,V,SG,1,FUT	n,g,i,y,o,g,z,j,i,m,a
b,h,j,a,b,$,COPY	b,h,j,a,b
b,h,j,a,b,$,V,SG,1,FUT+IMMED	n,g,i,z,o,b,h,j,a,b
w,h,a,j,a,$,COPY	w,h,a,j,a
w,h,a,j,a,$,V,SG,1,PST+RCT	n,g,i,w,h,a,j,e
b,z,a,l,a,$,COPY	b,z,a,l,a
b,z,a,l,a,$,V,SG,1,PRS	n,g,i,b,z,a,l,a
b,h,q,s,a,$,COPY	b,h,q,s,a
b,h,q,s,a,$,V,SG,1,PST+RMT	n,g,a,b,h,q,s,a
b,h,a,l,j,$,COPY	b,h,a,l,j
b,h,a,l,j,$,V,SG,1,FUT	n,g,i,y,o,b,h,a,l,j
u,n,a,$,COPY	u,n,a
u,n,a,$,V,SG,1,FUT	n,g,i,y,o,k,u,u,n,a
d,c,a,$,COPY	d,c,a
d,c,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,d,c,a
m,l,c,$,V,SG,1,PRS	n,g,i,m,l,c
d,b,d,$,COPY	d,b,d
d,b,d,$,V,SG,1,PST+RMT	n,g,a,d,b,d
p,p,e,u,u,m,u,u,a,$,COPY	p,p,e,u,u,m,u,u,a
p,p,e,u,u,m,u,u,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,p,e,u,u,m,u,u,a
p,h,z,f,u,n,v,z,a,$,COPY	p,h,z,f,u,n,v,z,a
p,h,z,f,u,n,v,z,a,$,V,SG,1,PRS	n,g,i,y,a,p,h,z,f,u,n,v,z,a
p,h,e,b,p,e,u,l,a,$,COPY	p,h,e,b,p,e,u,l,a
p,h,e,b,p,e,u,l,a,$,V,SG,1,PST+RCT	n,g,i,p,h,e,b,p,e,u,l,e
p,h,e,f,u,i,g,g,a,$,COPY	p,h,e,f,u,i,g,g,a
p,h,e,f,u,i,g,g,a,$,V,SG,1,PST+RMT	n,g,a,p,h,e,f,u,i,g,g,a
p,d,d,g,n,j,o,l,a,$,COPY	p,d,d,g,n,j,o,l,a
p,d,d,g,n,j,o,l,a,$,V,SG,1,FUT	n,g,i,y,o,p,d,d,g,n,j,o,l,a
i,a,l,u,a,$,COPY	i,a,l,u,a
i,a,l,u,a,$,V,SG,1,PST+RMT	n,g,a,i,a,l,u,a
a,h,u,a,p,$,COPY	a,h,u,a,p
a,h,u,a,p,$,V,SG,1,PRS	n,g,i,a,h,u,a,p
z,n,s,z,a,$,COPY	z,n,s,z,a
z,n,s,z,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,z,n,s,z,a
p,h,w,z,c,$,COPY	p,h,w,z,c
p,h,w,z,c,$,V,SG,1,FUT	n,g,i,y,o,p,h,w,z,c
n,o,u,z,a,$,COPY	n,o,u,z,a
n,o,u,z,a,$,V,SG,1,PST+RCT	n,g,i,n,o,u,z,e
t,h,p,e,l,a,$,COPY	t,h,p,e,l,a
t,h,p,e,l,a,$,V,SG,1,PST+RCT	n,g,i,t,h,p,e,l,e
t,h,j,n,t,a,$,COPY	t,h,j,n,t,a
t,h,j,n,t,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,j,n,t,a
t,b,d,n,w,a,$,COPY	t,b,d,n,w,a
t,b,d,n,w,a,$,V,SG,1,FUT	n,g,i,y,o,t,b,d,n,w,a
t,k,m,j,t,a,$,COPY	t,k,m,j,t,a
t,k,m,j,t,a,$,V,SG,1,PST+RMT	n,g,a,t,k,m,j,t,a
t,g,s,n,s,a,$,COPY	t,g,s,n,s,a
t,g,s,n,s,a,$,V,SG,1,PRS	n,g,i,t,g,s,n,s,a
l,a,j,k,c,k,e,l,w,a,$,COPY	l,a,j,k,c,k,e,l,w,a
l,a,j,k,c,k,e,l,w,a,$,V,SG,1,PST+RCT	n,g,i,l,a,j,k,c,k,e,l,w,e
l,a,h,q,y,k,p,l,w,a,$,COPY	l,a,h,q,y,k,p,l,w,a
l,a,h,q,y,k,p,l,w,a,$,V,SG,1,PRS	n,g,i,l,a,h,q,y,k,p,l,w,a
l,f,h,z,o,w,e,g,n,a,$,COPY	l,f,h,z,o,w,e,g,n,a
l,f,h,z,o,w,e,g,n,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,f,h,z,o,w,e,g,n,a
l,a,d,l,e,k,l,l,w,a,$,COPY	l,a,d,l,e,k,l,l,w,a
l,a,d,l,e,k,l,l,w,a,$,V,SG,1,FUT	n,g,i,y,o,l,a,d,l,e,k,l,l,w,a
l,i,i,l,t,s,c,l,w,a,$,COPY	l,i,i,l,t,s,c,l,w,a
l,i,i,l,t,s,c,l,w,a,$,V,SG,1,PST+RMT	n,g,a,l,i,i,l,t,s,c,l,w,a
s,l,a,$,COPY	s,l,a
s,l,a,$,V,SG,1,PRS	n,g,i,s,l,a
e,w,a,$,COPY	e,w,a
e,w,a,$,V,SG,1,PST+RMT	n,g,a,e,w,a
l,t,a,$,COPY	l,t,a
l,t,a,$,V,SG,1,FUT	n,g,i,y,o,k,u,l,t,a
y,k,s,$,COPY	y,k,s
y,k,s,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,y,k,s
s,h,k,h,y,a,$,COPY	s,h,k,h,y,a
s,h,k,h,y,a,$,V,SG,1,PRS	n,g,i,s,h,k,h,y,a
s,u,k,k,m,a,$,COPY	s,u,k,k,m,a
s,u,k,k,m,a,$,V,SG,1,PST+RMT	n,g,a,s,u,k,k,m,a
s,c,k,u,h,a,$,COPY	s,c,k,u,h,a
s,c,k,u,h,a,$,V,SG,1,PST+RCT	n,g,i,s,c,k,u,h,e
s,u,k,u,j,a,$,COPY	s,u,k,u,j,a
s,u,k,u,j,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,u,k,u,j,a
s,u,k,e,f,a,$,COPY	s,u,k,e,f,a
s,u,k,e,f,a,$,V,SG,1,FUT	n,g,i,y,o,s,u,k,e,f,a
p,z,e,n,z,a,l,a,$,COPY	p,z,e,n,z,a,l,a
p,z,e,n,z,a,l,a,$,V,SG,1,PRS	n,g,i,p,z,e,n,z,a,l,a
p,l,e,n,d,u,l,a,$,COPY	p,l,e,n,d,u,l,a
p,l,e,n,d,u,l,a,$,V,SG,1,PST+RCT	n,g,i,p,l,e,n,d,u,l,e
p,h,w,u,d,u,l,a,$,COPY	p,h,w,u,d,u,l,a
p,h,w,u,d,u,l,a,$,V,SG,1,FUT	n,g,i,y,o,p,h,w,u,d,u,l,a
p,h,a,y,d,u,l,a,$,COPY	p,h,a,y,d,u,l,a
p,h,a,y,d,u,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,a,y,d,u,l,a
p,h,u,k,h,u,l,a,$,COPY	p,h,u,k,h,u,l,a
p,h,u,k,h,u,l,a,$,V,SG,1,PST+RMT	n,g,a,p,h,u,k,h,u,l,a
q,k,n,t,n,$,COPY	q,k,n,t,n
q,k,n,t,n,$,V,SG,1,FUT	n,g,i,y,o,q,k,n,t,n
t,l,u,d,a,$,COPY	t,l,u,d,a
t,l,u,d,a,$,V,SG,1,PST+RCT	n,g,i,t,l,u,d,e
s,n,g,d,o,$,COPY	s,n,g,d,o
s,n,g,d,o,$,V,SG,1,PRS	n,g,i,y,a,s,n,g,d,o
q,o,o,d,a,$,COPY	q,o,o,d,a
q,o,o,d,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,q,o,o,d,a
d,o,m,y,a,$,COPY	d,o,m,y,a
d,o,m,y,a,$,V,SG,1,PST+RMT	n,g,a,d,o,m,y,a
b,o,n,a,k,a,w,a,$,COPY	b,o,n,a,k,a,w,a
b,o,n,a,k,a,w,a,$,V,SG,1,PST+RMT	n,g,a,b,o,n,a,k,a,w,a
b,w,b,a,s,k,l,a,$,COPY	b,w,b,a,s,k,l,a
b,w,b,a,s,k,l,a,$,V,SG,1,FUT	n,g,i,y,o,b,w,b,a,s,k,l,a
b,v,f,a,k,a,l,a,$,COPY	b,v,f,a,k,a,l,a
b,v,f,a,k,a,l,a,$,V,SG,1,PRS	n,g,i,b,v,f,a,k,a,l,a
b,y,w,t,c,a,i,a,$,COPY	b,y,w,t,c,a,i,a
b,y,w,t,c,a,i,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,b,y,w,t,c,a,i,a
b,f,i,d,k,a,l,a,$,COPY	b,f,i,d,k,a,l,a
b,f,i,d,k,a,l,a,$,V,SG,1,PST+RCT	n,g,i,b,f,i,d,k,a,l,e
c,j,j,o,z,s,a,$,COPY	c,j,j,o,z,s,a
c,j,j,o,z,s,a,$,V,SG,1,PST+RCT	n,g,i,c,j,j,o,z,s,e
c,p,u,s,i,w,a,$,COPY	c,p,u,s,i,w,a
c,p,u,s,i,w,a,$,V,SG,1,PRS	n,g,i,c,p,u,s,i,w,a
c,j,q,u,q,s,a,$,COPY	c,j,q,u,q,s,a
c,j,q,u,q,s,a,$,V,SG,1,PST+RMT	n,g,a,c,j,q,u,q,s,a
c,h,l,s,i,q,a,$,COPY	c,h,l,s,i,q,a
c,h,l,s,i,q,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,c,h,l,s,i,q,a
c,s,a,c,e,s,a,$,COPY	c,s,a,c,e,s,a
c,s,a,c,e,s,a,$,V,SG,1,FUT	n,g,i,y,o,c,s,a,c,e,s,a
h,p,j,n,g,a,p,a,$,COPY	h,p,j,n,g,a,p,a
h,p,j,n,g,a,p,a,$,V,SG,1,PRS	n,g,i,h,p,j,n,g,a,p,a
h,i,a,n,p,p,n,a,$,COPY	h,i,a,n,p,p,n,a
h,i,a,n,p,p,n,a,$,V,SG,1,PST+RCT	n,g,i,h,i,a,n,p,p,n,e
h,c,a,n,g,j,u,a,$,COPY	h,c,a,n,g,j,u,a
h,c,a,n,g,j,u,a,$,V,SG,1,FUT	n,g,i,y,o,h,c,a,n,g,j,u,a
h,v,a,n,g,h,v,a,$,COPY	h,v,a,n,g,h,v,a
h,v,a,n,g,h,v,a,$,V,SG,1,PST+RMT	n,g,a,h,v,a,n,g,h,v,a
h,v,q,n,g,i,n,a,$,COPY	h,v,q,n,g,i,n,a
h,v,q,n,g,i,n,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,h,v,q,n,g,i,n,a
p,t,u,a,a,$,COPY	p,t,u,a,a
p,t,u,a,a,$,V,SG,1,FUT	n,g,i,y,o,p,t,u,a,a
z,k,w,m,i,$,COPY	z,k,w,m,i
z,k,w,m,i,$,V,SG,1,PRS	n,g,i,z,k,w,m,i
p,h,w,y,z,$,COPY	p,h,w,y,z
p,h,w,y,z,$,V,SG,1,PST+RMT	n,g,a,p,h,w,y,z
t,h,u,q,a,$,COPY	t,h,u,q,a
t,h,u,q,a,$,V,SG,1,PST+RCT	n,g,i,t,h,u,q,e
p,h,k,m,q,$,COPY	p,h,k,m,q
p,h,k,m,q,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,k,m,q
z,v,k,$,COPY	z,v,k
z,v,k,$,V,SG,1,FUT	n,g,i,y,o,k,u,z,v,k
p,z,a,$,COPY	p,z,a
p,z,a,$,V,SG,1,PST+RMT	n,g,a,p,z,a
z,q,a,$,COPY	z,q,a
z,q,a,$,V,SG,1,PRS	n,g,i,y,e,z,q,a
z,w,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,z,w,a
l,a,l,a, ,p,h,g,u,s,i,$,COPY	l,a,l,a, ,p,h,g,u,s,i
l,a,l,a, ,p,h,g,u,s,i,$,V,SG,1,FUT	n,g,i,y,o,l,a,l,a, ,p,h,g,u,s,i
l,a,m,c, ,p,h,p,n,g,i,$,COPY	l,a,m,c, ,p,h,p,n,g,i
l,a,m,c, ,p,h,p,n,g,i,$,V,SG,1,PST+RMT	n,g,a,l,a,m,c, ,p,h,p,n,g,i
l,a,l,a, ,p,h,k,n,s,i,$,COPY	l,a,l,a, ,p,h,k,n,s,i
l,a,l,a, ,p,h,k,n,s,i,$,V,SG,1,PST+RCT	n,g,i,l,e,l,e, ,p,h,k,n,s,i
u,f,l,a, ,p,p,a,n,s,i,$,COPY	u,f,l,a, ,p,p,a,n,s,i
u,f,l,a, ,p,p,a,n,s,i,$,V,SG,1,FUT+IMMED	n,g,i,z,o,u,f,l,a, ,p,p,a,n,s,i
l,o,k,d, ,p,h,a,t,s,i,$,COPY	l,o,k,d, ,p,h,a,t,s,i
l,o,k,d, ,p,h,a,t,s,i,$,V,SG,1,PRS	n,g,i,l,o,k,d, ,p,h,a,t,s,i
v,u,l,a,$,V,SG,1,PST+RCT	n,g,i,v,u,l,e
v,a,l,a,$,V,SG,1,PRS	n,g,i,v,a,l,a
v,a,t,a,$,COPY	v,a,t,a
v,a,t,a,$,V,SG,1,PST+RMT	n,g,a,v,a,t,a
v,f,m,a,$,COPY	v,f,m,a
v,f,m,a,$,V,SG,1,FUT	n,g,i,y,o,v,f,m,a
v,u,g,a,$,COPY	v,u,g,a
v,u,g,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,v,u,g,a
o,u,n,g,$,COPY	o,u,n,g
o,u,n,g,$,V,SG,1,FUT	n,g,i,y,o,o,u,n,g
a,u,b,a,$,COPY	a,u,b,a
a,u,b,a,$,V,SG,1,PST+RMT	n,g,a,a,u,b,a
v,g,m,v,$,COPY	v,g,m,v
